;date;open;high;low;close;volume;isEmaUptrend;isEmaDowntrend;isSmaUptrend;isSmaDowntrend;prediction;signal;barsHeld;isEarlySignalFlip;isLastSignalBuy;isLastSignalSell;isNewBuySignal;isNewSellSignal;startLongTrade;startShortTrade;endLongTrade;endShortTrade;RSI;CCI;ADX
0;2024-05-23;2547.38;2568.16;2531.41;2541.37;33633368.0;1;1;1;1;8;1;244;0;1;0;0;0;;;0;0;54.02878924319586;33.542900846480165;17.8530956058609
1;2024-05-22;2562.52;2562.77;2542.01;2552.7;20968404.0;1;1;1;1;4;1;243;0;1;0;0;0;;;0;0;56.23027212110229;48.10478645173437;18.326919240785646
2;2024-05-21;2579.49;2588.31;2557.42;2567.52;19910220.0;1;1;1;1;4;1;242;0;1;0;0;0;;;0;0;59.15804583064263;88.58015146416878;18.65127923734179
3;2024-05-20;2585.49;2600.53;2581.95;2593.1;24751625.0;1;1;1;1;6;1;241;0;1;0;0;0;;;0;0;64.54438154678583;133.26431001331224;18.733621943190236
4;2024-05-17;2559.34;2576.62;2537.37;2574.96;21078390.0;1;1;1;1;6;1;240;0;1;0;0;0;;;0;0;62.283027939768466;93.17009516071367;18.382225808347616
5;2024-05-16;2566.15;2578.73;2554.26;2562.83;18911681.0;1;1;1;1;4;1;239;0;1;0;0;0;;;0;0;60.727749927344355;106.71711783952495;18.288963019235055
6;2024-05-15;2552.49;2558.22;2534.37;2555.32;25350172.0;1;1;1;1;6;1;238;0;1;0;0;0;;;0;0;59.774139462050414;91.2340685751285;17.876909307784068
7;2024-05-14;2552.04;2562.66;2526.8;2557.21;34127402.0;1;1;1;1;8;1;237;0;1;0;0;0;;;0;0;60.115259423089995;101.80080702142251;17.679343424472783
8;2024-05-13;2528.66;2552.38;2521.47;2547.1;23678342.0;1;1;1;1;2;1;236;0;1;0;0;0;;;0;0;58.95168600089479;98.8436834116967;17.4713793367767
9;2024-05-10;2574.83;2577.09;2520.75;2523.05;33258808.0;1;1;1;1;4;1;235;0;1;0;0;0;;;0;0;56.12426369022416;113.22956915609815;17.36899356055635
10;2024-05-09;2563.65;2573.52;2554.78;2565.64;26366939.0;1;1;1;1;4;1;234;0;1;0;0;0;;;0;0;63.293303581844285;181.48658897386701;17.261219059271774
11;2024-05-08;2542.8;2550.72;2528.36;2550.72;22509893.0;1;1;1;1;6;1;233;0;1;0;0;0;;;0;0;61.70196217230758;162.289539422975;16.56841906479823
